속성명,데이터_타입,NULL_레코드_수,NULL_레코드_비율,상이_범주_값,특수문자_포함_레코드_수,특수문자_포함_레코드_비율,대표_속성,결합키_후보,대표_결합키
PHONE_NUM,text,0,0,1200,6,0.005,,1,
MAIL_ADDR,text,0,0,1200,6,0.005,,1,
CENTER_NM,text,0,0,70,6,0.005,,,
AGE_GBN,text,0,0,4,6,0.005,,,
TEST_GBN,text,0,0,2,6,0.005,,,
INPUT_GBN,text,0,0,3,6,0.005,,,
CERT_GBN,text,0,0,4,6,0.005,,,
TEST_SEX,text,0,0,2,6,0.005,,,
PHONE_NUM,text,0,0,1200,6,0.005,,1,
MAIL_ADDR,text,0,0,1200,6,0.005,,1,
CENTER_NM,text,0,0,70,6,0.005,,,
AGE_GBN,text,0,0,4,6,0.005,,,
TEST_GBN,text,0,0,2,6,0.005,,,
INPUT_GBN,text,0,0,3,6,0.005,,,
CERT_GBN,text,0,0,4,6,0.005,,,
TEST_SEX,text,0,0,2,6,0.005,,,
PHONE_NUM,text,0,0,1200,,,,1,
MAIL_ADDR,text,0,0,1200,,,,1,
CENTER_NM,text,0,0,70,,,,,
AGE_GBN,text,0,0,4,,,,,
TEST_GBN,text,0,0,2,,,,,
INPUT_GBN,text,0,0,3,,,,,
CERT_GBN,text,0,0,4,,,,,
TEST_SEX,text,0,0,2,,,,,